offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
1313868846315761408	2018-07-06T00:00:00+03:00	2018-07-13T00:00:00+03:00	20000.0	2	False	1	False	36.0			50.0	11.0	2	2	Россия, Санкт-Петербург, Гражданский проспект, 6	1950166477819314824
1640735890747072512	2016-08-08T00:00:00+03:00	2016-12-10T00:00:00+03:00	4600000.0	3	False	2	False	44.0	9.0	26.0		3.0	1	2	Россия, Санкт-Петербург, проспект Народного Ополчения, 131	7393117043173358830
8215041328885683968	2018-01-09T00:00:00+03:00	2018-05-14T00:00:00+03:00	4800000.0	2	False	2	False	49.0	14.0	21.0		10.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Столичная улица, 11к1	1844404916678066556
6275208243722409381	2017-08-08T00:00:00+03:00	2018-02-07T00:00:00+03:00	4070000.0	2	False	1	False	40.7				0.0	1	2	Россия, Санкт-Петербург, Лиственная улица, 18к1	213943198699898964
3463088622089684654	2017-04-29T00:00:00+03:00	2018-01-23T00:00:00+03:00	10202193.0	4	False	1	False	71.7	29.3	18.0			1	2	Россия, Санкт-Петербург, улица Катерников, 10к1	6666714180647714092
3644414724123611137	2017-12-18T00:00:00+03:00	2018-02-01T00:00:00+03:00	30000.0	5	False	3	False	58.0			60.000004		2	2	Россия, Санкт-Петербург, Варшавская улица, 39к1	6532707473578019029
5867283855213001458	2015-12-25T00:00:00+03:00	2016-06-20T00:00:00+03:00	2120050.0	2	False	1	False	38.9	11.7	16.5		0.0	1	2	Россия, Ленинградская область, Тосненский район, Фёдоровское сельское поселение, деревня Фёдоровское, Почтовая улица, 9	1884783822501949885
7607520774434573057	2017-12-15T00:00:00+03:00	2018-03-13T00:00:00+03:00	3750000.0	1	False	2	False	44.75	5.4	31.5		2.0	1	2	Россия, Санкт-Петербург, Пискарёвский проспект, 58к2	665343139034136060
244177618892810670	2017-06-30T00:00:00+03:00	2018-02-07T00:00:00+03:00	6435015.0	12	False	3	False	101.1					1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 18к2	7076615050583066163
7258486944619028900	2018-05-03T00:00:00+03:00	2018-06-02T00:00:00+03:00	7500000.0	10	False	3	False	73.0	10.8	42.0			1	2	Россия, Санкт-Петербург, улица Хошимина, 5к1	1310548216957489114
